" Monthly averaged odata for station MLO       
"
""
" /data/instrument/database_active//curves///mloo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2000,  1,        0, 2000.0410,  -250.45,  -242.90,    -251.27,  -243.73,    -250.45,  -242.90
2000,  2,        0, 2000.1257,  -253.52,  -242.81,    -256.03,  -245.33,    -253.52,  -242.81
2000,  3,        0, 2000.2049,  -264.08,  -249.05,    -261.91,  -246.88,    -264.08,  -249.05
2000,  4,        0, 2000.2896,  -266.77,  -245.08,    -270.31,  -248.61,    -266.77,  -245.08
2000,  5,        0, 2000.3716,  -262.30,  -241.77,    -270.88,  -250.35,    -262.30,  -241.77
2000,  6,        0, 2000.4563,  -260.55,  -250.49,    -262.27,  -252.21,    -260.55,  -250.49
2000,  7,        0, 2000.5383,  -250.02,  -253.56,    -250.51,  -254.05,    -250.02,  -253.56
2000,  8,        0, 2000.6230,  -240.55,  -258.15,    -238.39,  -255.98,    -240.55,  -258.15
2000,  9,        0, 2000.7077,  -237.88,  -263.20,    -232.60,  -257.92,    -237.88,  -263.20
2000, 10,        0, 2000.7896,  -240.91,  -264.00,    -236.69,  -259.78,    -240.91,  -264.00
2000, 11,        0, 2000.8743,  -247.76,  -261.52,    -247.92,  -261.69,    -247.76,  -261.52
2000, 12,        0, 2000.9563,  -258.22,  -259.92,    -261.82,  -263.52,    -258.22,  -259.92
2001,  1,        0, 2001.0411,  -260.44,  -252.89,    -272.94,  -265.39,    -260.44,  -252.89
2001,  2,        0, 2001.1260,  -286.26,  -275.54,    -277.95,  -267.24,    -286.26,  -275.54
2001,  3,        0, 2001.2027,  -292.77,  -277.92,    -283.71,  -268.86,    -292.77,  -277.92
2001,  4,        0, 2001.2877,  -295.90,  -274.31,    -292.20,  -270.60,    -295.90,  -274.31
2001,  5,        0, 2001.3699,  -292.85,  -272.18,    -292.88,  -272.22,    -292.85,  -272.18
2001,  6,        0, 2001.4548,  -282.41,  -272.12,    -284.12,  -273.83,    -282.41,  -272.12
2001,  7,        0, 2001.5370,  -274.79,  -278.11,    -272.02,  -275.34,    -274.79,  -278.11
2001,  8,        0, 2001.6219,  -264.04,  -281.48,    -259.40,  -276.84,    -264.04,  -281.48
2001,  9,        0, 2001.7068,  -253.88,  -279.18,    -253.00,  -278.30,    -253.88,  -279.18
2001, 10,        0, 2001.7890,  -260.57,  -283.70,    -256.54,  -279.67,    -260.57,  -283.70
2001, 11,        0, 2001.8740,   -99.99,     0.00,    -267.26,  -281.08,    -267.26,  -281.08
