" Monthly averaged cdata for station MLO       
"
""
" /data/instrument/database_active//curves///mloc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
2000,  6,        0, 2000.4563,   371.38,   369.02,     371.93,   369.57,     371.38,   369.02
2000,  7,        0, 2000.5383,   369.93,   369.51,     370.11,   369.69,     369.93,   369.51
2000,  8,        0, 2000.6230,   368.12,   370.06,     367.88,   369.82,     368.12,   370.06
2000,  9,        0, 2000.7077,   366.82,   370.39,     366.38,   369.95,     366.82,   370.39
2000, 10,        0, 2000.7896,   367.18,   370.58,     366.67,   370.07,     367.18,   370.58
2000, 11,        0, 2000.8743,   368.45,   370.47,     368.18,   370.20,     368.45,   370.47
2000, 12,        0, 2000.9563,   369.51,   370.19,     369.65,   370.32,     369.51,   370.19
2001,  1,        0, 2001.0411,   370.09,   369.78,     370.76,   370.45,     370.09,   369.78
2001,  2,        0, 2001.1260,   372.03,   371.15,     371.46,   370.58,     372.03,   371.15
2001,  3,        0, 2001.2027,   372.70,   371.16,     372.24,   370.70,     372.70,   371.16
2001,  4,        0, 2001.2877,   373.44,   370.68,     373.60,   370.84,     373.44,   370.68
2001,  5,        0, 2001.3699,   373.97,   370.62,     374.31,   370.97,     373.97,   370.62
2001,  6,        0, 2001.4548,   373.37,   370.98,     373.51,   371.11,     373.37,   370.98
2001,  7,        0, 2001.5370,   371.30,   370.85,     371.71,   371.26,     371.30,   370.85
2001,  8,        0, 2001.6219,   369.63,   371.54,     369.50,   371.41,     369.63,   371.54
2001,  9,        0, 2001.7068,   367.93,   371.50,     368.01,   371.57,     367.93,   371.50
2001, 10,        0, 2001.7890,   368.86,   372.28,     368.32,   371.73,     368.86,   372.28
2001, 11,        0, 2001.8740,   -99.99,     0.00,     369.87,   371.89,     369.87,   371.89
2001, 12,        0, 2001.9562,   371.89,   372.57,     371.38,   372.05,     371.89,   372.57
2002,  1,        0, 2002.0411,   372.69,   372.38,     372.53,   372.22,     372.69,   372.38
2002,  2,        0, 2002.1260,   372.95,   372.07,     373.28,   372.40,     372.95,   372.07
2002,  3,        0, 2002.2027,   374.30,   372.75,     374.11,   372.56,     374.30,   372.75
2002,  4,        0, 2002.2877,   375.08,   372.31,     375.52,   372.75,     375.08,   372.31
2002,  5,        0, 2002.3699,   375.94,   372.59,     376.29,   372.95,     375.94,   372.59
2002,  6,        0, 2002.4548,   375.53,   373.14,     375.55,   373.16,     375.53,   373.14
2002,  7,        0, 2002.5370,   374.05,   373.60,     373.82,   373.37,     374.05,   373.60
2002,  8,        0, 2002.6219,   371.19,   373.10,     371.68,   373.59,     371.19,   373.10
2002,  9,        0, 2002.7068,   370.12,   373.68,     370.26,   373.83,     370.12,   373.68
2002, 10,        0, 2002.7890,   370.52,   373.93,     370.65,   374.06,     370.52,   373.93
2002, 11,        0, 2002.8740,   372.21,   374.24,     372.28,   374.30,     372.21,   374.24
2002, 12,        0, 2002.9562,   374.13,   374.81,     373.87,   374.54,     374.13,   374.81
2003,  1,        0, 2003.0411,   375.08,   374.77,     375.09,   374.79,     375.08,   374.77
2003,  2,        0, 2003.1260,   375.93,   375.06,     375.90,   375.03,     375.93,   375.06
2003,  3,        0, 2003.2027,   376.46,   374.92,     376.78,   375.24,     376.46,   374.92
2003,  4,        0, 2003.2877,   378.39,   375.63,     378.23,   375.47,     378.39,   375.63
