" Monthly averaged odata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoo_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the o concentration in per-meg units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1999, 11,        0, 1999.8740,  -241.02,  -229.76,    -241.90,  -230.64,    -241.02,  -229.76
1999, 12,        0, 1999.9562,  -223.96,  -232.62,    -223.61,  -232.28,    -223.96,  -232.62
2000,  1,        0, 2000.0410,  -217.45,  -244.13,    -207.30,  -233.98,    -217.45,  -244.13
2000,  2,        0, 2000.1257,  -205.85,  -238.89,    -202.61,  -235.66,    -205.85,  -238.89
2000,  3,        0, 2000.2049,  -210.34,  -238.78,    -208.77,  -237.21,    -210.34,  -238.78
2000,  4,        0, 2000.2896,  -218.87,  -237.44,    -220.27,  -238.84,    -218.87,  -237.44
2000,  5,        0, 2000.3716,  -232.85,  -239.68,    -233.58,  -240.41,    -232.85,  -239.68
2000,  6,        0, 2000.4563,  -243.52,  -238.75,    -246.80,  -242.03,    -243.52,  -238.75
2000,  7,        0, 2000.5383,  -256.64,  -241.44,    -258.79,  -243.60,    -256.64,  -241.44
2000,  8,        0, 2000.6230,  -272.67,  -245.06,    -272.82,  -245.22,    -272.67,  -245.06
2000,  9,        0, 2000.7077,  -283.64,  -249.11,    -281.33,  -246.81,    -283.64,  -249.11
2000, 10,        0, 2000.7896,  -282.43,  -254.49,    -276.25,  -248.31,    -282.43,  -254.49
2000, 11,        0, 2000.8743,  -265.56,  -254.39,    -261.01,  -249.83,    -265.56,  -254.39
2000, 12,        0, 2000.9563,  -241.67,  -250.36,    -242.58,  -251.27,    -241.67,  -250.36
2001,  1,        0, 2001.0411,  -220.43,  -247.12,    -226.07,  -252.76,    -220.43,  -247.12
2001,  2,        0, 2001.1260,  -218.35,  -251.39,    -221.23,  -254.28,    -218.35,  -251.39
2001,  3,        0, 2001.2027,  -227.36,  -256.00,    -227.02,  -255.66,    -227.36,  -256.00
2001,  4,        0, 2001.2877,  -239.47,  -258.29,    -238.39,  -257.21,    -239.47,  -258.29
2001,  5,        0, 2001.3699,  -250.14,  -257.22,    -251.64,  -258.72,    -250.14,  -257.22
2001,  6,        0, 2001.4548,  -262.27,  -257.68,    -264.86,  -260.28,    -262.27,  -257.68
2001,  7,        0, 2001.5370,  -279.53,  -264.51,    -276.80,  -261.78,    -279.53,  -264.51
2001,  8,        0, 2001.6219,  -291.85,  -264.38,    -290.77,  -263.30,    -291.85,  -264.38
2001,  9,        0, 2001.7068,  -305.49,  -270.96,    -299.30,  -264.77,    -305.49,  -270.96
2001, 10,        0, 2001.7890,  -297.85,  -269.83,    -294.17,  -266.15,    -297.85,  -269.83
2001, 11,        0, 2001.8740,  -271.57,  -260.31,    -278.79,  -267.54,    -271.57,  -260.31
2001, 12,        0, 2001.9562,  -257.11,  -265.78,    -260.22,  -268.88,    -257.11,  -265.78
2002,  1,        0, 2002.0411,   -99.99,     0.00,    -243.58,  -270.28,    -243.58,  -270.28
2002,  2,        0, 2002.1260,  -241.10,  -274.15,    -238.65,  -271.69,    -241.10,  -274.15
2002,  3,        0, 2002.2027,  -242.48,  -271.13,    -244.33,  -272.98,    -242.48,  -271.13
2002,  4,        0, 2002.2877,  -256.92,  -275.74,    -255.59,  -274.42,    -256.92,  -275.74
2002,  5,        0, 2002.3699,  -268.67,  -275.75,    -268.74,  -275.83,    -268.67,  -275.75
2002,  6,        0, 2002.4548,  -284.21,  -279.63,    -281.89,  -277.31,    -284.21,  -279.63
2002,  7,        0, 2002.5370,  -291.64,  -276.62,    -293.80,  -278.78,    -291.64,  -276.62
2002,  8,        0, 2002.6219,  -304.10,  -276.63,    -307.81,  -280.34,    -304.10,  -276.63
2002,  9,        0, 2002.7068,  -314.03,  -279.51,    -316.49,  -281.96,    -314.03,  -279.51
2002, 10,        0, 2002.7890,  -313.96,  -285.94,    -311.60,  -283.58,    -313.96,  -285.94
2002, 11,        0, 2002.8740,  -294.42,  -283.16,    -296.55,  -285.30,    -294.42,  -283.16
2002, 12,        0, 2002.9562,  -278.86,  -287.52,    -278.33,  -286.99,    -278.86,  -287.52
2003,  1,        0, 2003.0411,  -257.24,  -283.93,    -262.07,  -288.76,    -257.24,  -283.93
2003,  2,        0, 2003.1260,  -265.96,  -299.00,    -257.50,  -290.55,    -265.96,  -299.00
2003,  3,        0, 2003.2027,  -264.13,  -292.77,    -263.50,  -292.14,    -264.13,  -292.77
2003,  4,        0, 2003.2877,  -280.36,  -299.18,    -275.07,  -293.89,    -280.36,  -299.18
2003,  5,        0, 2003.3699,  -291.40,  -298.48,    -288.48,  -295.56,    -291.40,  -298.48
2003,  6,        0, 2003.4548,  -302.69,  -298.11,    -301.85,  -297.27,    -302.69,  -298.11
2003,  7,        0, 2003.5370,  -307.21,  -292.19,    -313.95,  -298.93,    -307.21,  -292.19
2003,  8,        0, 2003.6219,  -325.68,  -298.22,    -328.14,  -300.67,    -325.68,  -298.22
2003,  9,        0, 2003.7068,  -338.76,  -304.23,    -336.98,  -302.45,    -338.76,  -304.23
2003, 10,        0, 2003.7890,  -334.32,  -306.30,    -332.23,  -304.21,    -334.32,  -306.30
2003, 11,        0, 2003.8740,  -311.64,  -300.38,    -317.32,  -306.06,    -311.64,  -300.38
2003, 12,        0, 2003.9562,  -301.98,  -310.64,    -299.23,  -307.89,    -301.98,  -310.64
2004,  1,        0, 2004.0410,  -278.09,  -304.77,    -283.14,  -309.82,    -278.09,  -304.77
2004,  2,        0, 2004.1257,  -272.99,  -306.04,    -278.70,  -311.75,    -272.99,  -306.04
2004,  3,        0, 2004.2049,  -287.26,  -315.70,    -285.10,  -313.54,    -287.26,  -315.70
2004,  4,        0, 2004.2896,  -298.90,  -317.47,    -296.83,  -315.40,    -298.90,  -317.47
2004,  5,        0, 2004.3716,  -311.91,  -318.74,    -310.28,  -317.11,    -311.91,  -318.74
2004,  6,        0, 2004.4563,  -327.69,  -322.93,    -323.53,  -318.77,    -327.69,  -322.93
2004,  7,        0, 2004.5383,  -339.21,  -324.02,    -335.44,  -320.24,    -339.21,  -324.02
2004,  8,        0, 2004.6230,  -351.50,  -323.89,    -349.27,  -321.66,    -351.50,  -323.89
2004,  9,        0, 2004.7077,  -356.13,  -321.60,    -357.51,  -322.98,    -356.13,  -321.60
2004, 10,        0, 2004.7896,  -351.25,  -323.31,    -352.16,  -324.23,    -351.25,  -323.31
2004, 11,        0, 2004.8743,  -335.24,  -324.06,    -336.69,  -325.51,    -335.24,  -324.06
2004, 12,        0, 2004.9563,  -314.18,  -322.87,    -318.07,  -326.76,    -314.18,  -322.87
2005,  1,        0, 2005.0411,  -303.60,  -330.29,    -301.40,  -328.09,    -303.60,  -330.29
2005,  2,        0, 2005.1260,  -288.41,  -321.46,    -296.42,  -329.46,    -288.41,  -321.46
2005,  3,        0, 2005.2027,  -304.25,  -332.89,    -302.10,  -330.74,    -304.25,  -332.89
2005,  4,        0, 2005.2877,  -314.34,  -333.16,    -313.37,  -332.19,    -314.34,  -333.16
2005,  5,        0, 2005.3699,  -324.40,  -331.48,    -326.54,  -333.62,    -324.40,  -331.48
2005,  6,        0, 2005.4548,  -340.12,  -335.54,    -339.69,  -335.11,    -340.12,  -335.54
2005,  7,        0, 2005.5370,  -352.31,  -337.29,    -351.58,  -336.56,    -352.31,  -337.29
2005,  8,        0, 2005.6219,  -366.69,  -339.23,    -365.52,  -338.05,    -366.69,  -339.23
2005,  9,        0, 2005.7068,  -375.41,  -340.88,    -374.05,  -339.53,    -375.41,  -340.88
2005, 10,        0, 2005.7890,  -371.11,  -343.09,    -368.96,  -340.94,    -371.11,  -343.09
2005, 11,        0, 2005.8740,  -352.15,  -340.89,    -353.65,  -342.39,    -352.15,  -340.89
2005, 12,        0, 2005.9562,  -322.90,  -331.56,    -335.14,  -343.81,    -322.90,  -331.56
2006,  1,        0, 2006.0411,  -324.24,  -350.93,    -318.58,  -345.28,    -324.24,  -350.93
2006,  2,        0, 2006.1260,  -320.35,  -353.39,    -313.70,  -346.74,    -320.35,  -353.39
2006,  3,        0, 2006.2027,  -316.25,  -344.90,    -319.44,  -348.08,    -316.25,  -344.90
