" Monthly averaged cdata for station CGO       
"
""
" /data/instrument/database_active//curves///cgoc_mon.csv                                                                                                                                                                                                         
"
""
"-------------------------------------------------------------------------------------------"
"                                                                                           "
" The data file below contains 10 columns.  Columns 1-4 give the dates in several redundant "
" formats.  Column 5 gives the c concentration in ppm units."
" This is the standard version of the data most often sought.  The monthly values have "
" been adjusted to 24:00 hours on the 15th of each month.  Column 6 gives the same "
" data after a seasonal adjustment to remove the quasi-regular seasonal cycle.  The "
" adjustment involves subtracting from the data a 4-harmonic fit. "
" Column 7 is a smoothed version of the data generated from a stiff"
" cubic spline function plus 4-harmonic functions. Column 8 is the same smoothed "
" version with the seasonal cycle removed. Column 9 is identical to Column 5 except "
" that the missing values from Column 5 have been filled with values from Column 7."
" Column 10 is identical to Column 6 except missing values have been filled with "
" values from Column 8.  Missing values are denoted by -99.99"
"                                                                                           "
   Yr, Mn,    Date,      Date,     CO2,seasonally,        fit,  seasonally,      CO2, seasonally
     ,   ,   Excel,          ,        ,  adjusted,           ,adjusted fit,   filled,adjusted filled
1999,  2,        0, 1999.1260,   365.05,   365.41,     364.68,   365.05,     365.05,   365.41
1999,  3,        0, 1999.2027,   364.70,   365.18,     364.68,   365.17,     364.70,   365.18
1999,  4,        0, 1999.2877,   364.87,   365.29,     364.87,   365.29,     364.87,   365.29
1999,  5,        0, 1999.3699,   364.99,   365.28,     365.11,   365.40,     364.99,   365.28
1999,  6,        0, 1999.4548,   365.35,   365.45,     365.40,   365.51,     365.35,   365.45
1999,  7,        0, 1999.5370,   365.77,   365.52,     365.86,   365.61,     365.77,   365.52
1999,  8,        0, 1999.6219,   365.95,   365.42,     366.25,   365.72,     365.95,   365.42
1999,  9,        0, 1999.7068,   366.22,   365.69,     366.36,   365.83,     366.22,   365.69
1999, 10,        0, 1999.7890,   366.32,   365.89,     366.38,   365.94,     366.32,   365.89
1999, 11,        0, 1999.8740,   366.00,   365.79,     366.26,   366.06,     366.00,   365.79
1999, 12,        0, 1999.9562,   366.35,   366.43,     366.09,   366.17,     366.35,   366.43
2000,  1,        0, 2000.0410,   366.52,   366.75,     366.06,   366.28,     366.52,   366.75
2000,  2,        0, 2000.1257,   366.26,   366.62,     366.03,   366.39,     366.26,   366.62
2000,  3,        0, 2000.2049,   366.08,   366.56,     366.01,   366.49,     366.08,   366.56
2000,  4,        0, 2000.2896,   366.22,   366.64,     366.18,   366.60,     366.22,   366.64
2000,  5,        0, 2000.3716,   366.29,   366.58,     366.41,   366.70,     366.29,   366.58
2000,  6,        0, 2000.4563,   366.59,   366.70,     366.70,   366.80,     366.59,   366.70
2000,  7,        0, 2000.5383,   367.17,   366.91,     367.16,   366.91,     367.17,   366.91
2000,  8,        0, 2000.6230,   367.44,   366.91,     367.55,   367.02,     367.44,   366.91
2000,  9,        0, 2000.7077,   367.57,   367.04,     367.67,   367.14,     367.57,   367.04
2000, 10,        0, 2000.7896,   367.72,   367.29,     367.69,   367.26,     367.72,   367.29
2000, 11,        0, 2000.8743,   367.67,   367.47,     367.59,   367.39,     367.67,   367.47
2000, 12,        0, 2000.9563,   367.51,   367.59,     367.44,   367.52,     367.51,   367.59
2001,  1,        0, 2001.0411,   367.39,   367.62,     367.43,   367.66,     367.39,   367.62
2001,  2,        0, 2001.1260,   367.47,   367.83,     367.43,   367.80,     367.47,   367.83
2001,  3,        0, 2001.2027,   367.57,   368.05,     367.45,   367.93,     367.57,   368.05
2001,  4,        0, 2001.2877,   367.63,   368.05,     367.66,   368.08,     367.63,   368.05
2001,  5,        0, 2001.3699,   367.76,   368.05,     367.95,   368.24,     367.76,   368.05
2001,  6,        0, 2001.4548,   368.35,   368.46,     368.29,   368.40,     368.35,   368.46
2001,  7,        0, 2001.5370,   368.67,   368.42,     368.82,   368.57,     368.67,   368.42
2001,  8,        0, 2001.6219,   369.10,   368.57,     369.27,   368.74,     369.10,   368.57
2001,  9,        0, 2001.7068,   369.53,   369.00,     369.46,   368.93,     369.53,   369.00
2001, 10,        0, 2001.7890,   369.58,   369.15,     369.54,   369.11,     369.58,   369.15
2001, 11,        0, 2001.8740,   369.37,   369.16,     369.50,   369.30,     369.37,   369.16
2001, 12,        0, 2001.9562,   369.59,   369.67,     369.40,   369.48,     369.59,   369.67
2002,  1,        0, 2002.0411,   -99.99,     0.00,     369.45,   369.68,     369.45,   369.68
2002,  2,        0, 2002.1260,   369.54,   369.90,     369.51,   369.88,     369.54,   369.90
2002,  3,        0, 2002.2027,   369.61,   370.10,     369.57,   370.05,     369.61,   370.10
2002,  4,        0, 2002.2877,   369.78,   370.20,     369.83,   370.25,     369.78,   370.20
2002,  5,        0, 2002.3699,   370.09,   370.38,     370.15,   370.44,     370.09,   370.38
2002,  6,        0, 2002.4548,   370.43,   370.54,     370.53,   370.64,     370.43,   370.54
2002,  7,        0, 2002.5370,   371.15,   370.91,     371.08,   370.83,     371.15,   370.91
2002,  8,        0, 2002.6219,   371.65,   371.12,     371.56,   371.03,     371.65,   371.12
2002,  9,        0, 2002.7068,   371.93,   371.40,     371.75,   371.22,     371.93,   371.40
2002, 10,        0, 2002.7890,   371.92,   371.49,     371.84,   371.41,     371.92,   371.49
2002, 11,        0, 2002.8740,   371.70,   371.50,     371.80,   371.60,     371.70,   371.50
2002, 12,        0, 2002.9562,   371.57,   371.65,     371.70,   371.78,     371.57,   371.65
2003,  1,        0, 2003.0411,   371.67,   371.89,     371.74,   371.96,     371.67,   371.89
2003,  2,        0, 2003.1260,   371.79,   372.16,     371.78,   372.15,     371.79,   372.16
2003,  3,        0, 2003.2027,   371.79,   372.28,     371.83,   372.31,     371.79,   372.28
2003,  4,        0, 2003.2877,   372.22,   372.64,     372.07,   372.49,     372.22,   372.64
2003,  5,        0, 2003.3699,   372.51,   372.80,     372.37,   372.66,     372.51,   372.80
2003,  6,        0, 2003.4548,   372.70,   372.81,     372.72,   372.82,     372.70,   372.81
2003,  7,        0, 2003.5370,   373.17,   372.92,     373.23,   372.98,     373.17,   372.92
2003,  8,        0, 2003.6219,   373.75,   373.23,     373.67,   373.14,     373.75,   373.23
2003,  9,        0, 2003.7068,   373.98,   373.45,     373.83,   373.30,     373.98,   373.45
2003, 10,        0, 2003.7890,   373.73,   373.30,     373.88,   373.44,     373.73,   373.30
2003, 11,        0, 2003.8740,   373.74,   373.54,     373.80,   373.59,     373.74,   373.54
2003, 12,        0, 2003.9562,   373.69,   373.77,     373.66,   373.74,     373.69,   373.77
2004,  1,        0, 2004.0410,   373.37,   373.60,     373.66,   373.89,     373.37,   373.60
2004,  2,        0, 2004.1257,   373.59,   373.96,     373.67,   374.04,     373.59,   373.96
2004,  3,        0, 2004.2049,   373.95,   374.44,     373.69,   374.18,     373.95,   374.44
2004,  4,        0, 2004.2896,   373.86,   374.28,     373.90,   374.32,     373.86,   374.28
2004,  5,        0, 2004.3716,   374.17,   374.46,     374.17,   374.46,     374.17,   374.46
2004,  6,        0, 2004.4563,   374.73,   374.83,     374.50,   374.60,     374.73,   374.83
2004,  7,        0, 2004.5383,   375.19,   374.94,     374.99,   374.73,     375.19,   374.94
2004,  8,        0, 2004.6230,   375.54,   375.01,     375.40,   374.87,     375.54,   375.01
2004,  9,        0, 2004.7077,   375.22,   374.69,     375.55,   375.02,     375.22,   374.69
2004, 10,        0, 2004.7896,   375.21,   374.77,     375.60,   375.17,     375.21,   374.77
2004, 11,        0, 2004.8743,   375.35,   375.15,     375.53,   375.33,     375.35,   375.15
2004, 12,        0, 2004.9563,   375.31,   375.40,     375.42,   375.50,     375.31,   375.40
2005,  1,        0, 2005.0411,   375.38,   375.61,     375.46,   375.69,     375.38,   375.61
